StaffID,Fristname,LastName,Position,Phone,Email,FlightID
21,Fiona,Gallager,Air Traffic Control,4064534897,fgall@gmail.com,2
22,Carl,Rut,Cabin Crew,2315552348,crut@gmail.com,4
23,Beth,Dutton,Cabin Crew,1284583465,bethdutton@gmail.com,6
24,Missy,Morrini,Pilot,1234567894,missm@gmail.com,10
25,Makayla,Cloker,Cabin Crew,3459964877,kayc@yahoo.com,16
26,Crystal,Delude,Air Traffic Control,1556443358,cryd@gmail.com,18
27,Ashley,Janice,Co-Pilot,4064755326,ashj@yahoo.com,20
28,Jamie,Lynch,Cabin Crew,4482465234,jamiel@homail.com,22
29,Hassani,Piker,Cabin Crew,5978541196,hassp@gamil.com,24
30,Laura,Smith,Cabin Crew,1184657924,laurasmith@gmail.com,26
